,²çäººæ¬¡,ºçäººæ¬¡
2023/10/1 0:00,25,49
2023/10/1 0:10,25,49
2023/10/1 0:20,25,49
2023/10/1 0:30,25,49
2023/10/1 0:40,25,49
2023/10/1 0:50,25,49
2023/10/1 1:00,1,0
2023/10/1 1:10,1,0
2023/10/1 1:20,1,0
2023/10/1 1:30,1,0
2023/10/1 1:40,1,0
2023/10/1 1:50,1,0
2023/10/1 2:00,1,0
2023/10/1 2:10,1,0
2023/10/1 2:20,1,0
2023/10/1 2:30,1,0
2023/10/1 2:40,1,0
2023/10/1 2:50,1,0
2023/10/1 3:00,1,0
2023/10/1 3:10,1,0
2023/10/1 3:20,1,0
2023/10/1 3:30,1,0
2023/10/1 3:40,1,0
2023/10/1 3:50,1,0
2023/10/1 4:00,1,0
2023/10/1 4:10,1,0
2023/10/1 4:20,1,0
2023/10/1 4:30,1,0
2023/10/1 4:40,1,0
2023/10/1 4:50,1,0
2023/10/1 5:00,0,0
2023/10/1 5:10,0,0
2023/10/1 5:20,0,0
2023/10/1 5:30,0,0
2023/10/1 5:40,0,0
2023/10/1 5:50,0,0
2023/10/1 6:00,22,30
2023/10/1 6:10,22,30
2023/10/1 6:20,22,30
2023/10/1 6:30,22,30
2023/10/1 6:40,22,30
2023/10/1 6:50,22,30
2023/10/1 7:00,36,41
2023/10/1 7:10,36,41
2023/10/1 7:20,36,41
2023/10/1 7:30,36,41
2023/10/1 7:40,36,41
2023/10/1 7:50,36,41
2023/10/1 8:00,62,106
2023/10/1 8:10,62,106
2023/10/1 8:20,62,106
2023/10/1 8:30,62,106
2023/10/1 8:40,62,106
2023/10/1 8:50,62,106
2023/10/1 9:00,90,156
2023/10/1 9:10,90,156
2023/10/1 9:20,90,156
2023/10/1 9:30,90,156
2023/10/1 9:40,90,156
2023/10/1 9:50,90,156
2023/10/1 10:00,118,159
2023/10/1 10:10,118,159
2023/10/1 10:20,118,159
2023/10/1 10:30,118,159
2023/10/1 10:40,118,159
2023/10/1 10:50,118,159
2023/10/1 11:00,143,231
2023/10/1 11:10,143,231
2023/10/1 11:20,143,231
2023/10/1 11:30,143,231
2023/10/1 11:40,143,231
2023/10/1 11:50,143,231
2023/10/1 12:00,172,249
2023/10/1 12:10,172,249
2023/10/1 12:20,172,249
2023/10/1 12:30,172,249
2023/10/1 12:40,172,249
2023/10/1 12:50,172,249
2023/10/1 13:00,215,237
2023/10/1 13:10,215,237
2023/10/1 13:20,215,237
2023/10/1 13:30,215,237
2023/10/1 13:40,215,237
2023/10/1 13:50,215,237
2023/10/1 14:00,250,229
2023/10/1 14:10,250,229
2023/10/1 14:20,250,229
2023/10/1 14:30,250,229
2023/10/1 14:40,250,229
2023/10/1 14:50,250,229
2023/10/1 15:00,221,276
2023/10/1 15:10,221,276
2023/10/1 15:20,221,276
2023/10/1 15:30,221,276
2023/10/1 15:40,221,276
2023/10/1 15:50,221,276
2023/10/1 16:00,227,285
2023/10/1 16:10,227,285
2023/10/1 16:20,227,285
2023/10/1 16:30,227,285
2023/10/1 16:40,227,285
2023/10/1 16:50,227,285
2023/10/1 17:00,246,320
2023/10/1 17:10,246,320
2023/10/1 17:20,246,320
2023/10/1 17:30,246,320
2023/10/1 17:40,246,320
2023/10/1 17:50,246,320
2023/10/1 18:00,238,294
2023/10/1 18:10,238,294
2023/10/1 18:20,238,294
2023/10/1 18:30,238,294
2023/10/1 18:40,238,294
2023/10/1 18:50,238,294
2023/10/1 19:00,202,235
2023/10/1 19:10,202,235
2023/10/1 19:20,202,235
2023/10/1 19:30,202,235
2023/10/1 19:40,202,235
2023/10/1 19:50,202,235
2023/10/1 20:00,186,224
2023/10/1 20:10,186,224
2023/10/1 20:20,186,224
2023/10/1 20:30,186,224
2023/10/1 20:40,186,224
2023/10/1 20:50,186,224
2023/10/1 21:00,178,269
2023/10/1 21:10,178,269
2023/10/1 21:20,178,269
2023/10/1 21:30,178,269
2023/10/1 21:40,178,269
2023/10/1 21:50,178,269
2023/10/1 22:00,140,180
2023/10/1 22:10,140,180
2023/10/1 22:20,140,180
2023/10/1 22:30,140,180
2023/10/1 22:40,140,180
2023/10/1 22:50,140,180
2023/10/1 23:00,68,94
2023/10/1 23:10,68,94
2023/10/1 23:20,68,94
2023/10/1 23:30,68,94
2023/10/1 23:40,68,94
2023/10/1 23:50,68,94
2023/10/2 0:00,42,21
2023/10/2 0:10,42,21
2023/10/2 0:20,42,21
2023/10/2 0:30,42,21
2023/10/2 0:40,42,21
2023/10/2 0:50,42,21
2023/10/2 1:00,1,0
2023/10/2 1:10,1,0
2023/10/2 1:20,1,0
2023/10/2 1:30,1,0
2023/10/2 1:40,1,0
2023/10/2 1:50,1,0
2023/10/2 2:00,1,0
2023/10/2 2:10,1,0
2023/10/2 2:20,1,0
2023/10/2 2:30,1,0
2023/10/2 2:40,1,0
2023/10/2 2:50,1,0
2023/10/2 3:00,1,0
2023/10/2 3:10,1,0
2023/10/2 3:20,1,0
2023/10/2 3:30,1,0
2023/10/2 3:40,1,0
2023/10/2 3:50,1,0
2023/10/2 4:00,1,0
2023/10/2 4:10,1,0
2023/10/2 4:20,1,0
2023/10/2 4:30,1,0
2023/10/2 4:40,1,0
2023/10/2 4:50,1,0
2023/10/2 5:00,0,0
2023/10/2 5:10,0,0
